Account,trades,win_rate,avg_pnl,pnl_std,total_pnl,volume,maker_rate,taker_rate,avg_fee,pnl_sharpe_proxy,profit_per_musd,max_drawdown,calmar_proxy,pc1,pc2,cluster
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,14719,0.33745499014878727,48.33005778449351,169.34542479990148,2143382.597689,56531277.0,0.15829879747265438,0.8417012025273456,1.0865036281554452,0.28539334819113243,37914.98638336084,-10680.586532,200.68023336239378,-0.46570004260065806,0.5678788560536259,3
0x083384f897ee0f19899168e3b1bec365f52a9012,3818,0.3596123624934521,122.35630222894709,301.26397898215606,1600229.819979,61697263.97,0.8878994237820849,0.11210057621791514,1.9395789167103195,0.40614315273381646,25936.803628068563,-327934.104256,4.879729796964908,2.219693240159611,-2.950378741128803,0
0xbaaaf6571ab7d571043ff1e313a9609a10637864,21192,0.46758210645526616,31.23474652851076,114.12648612824141,940163.80622,68036340.24,0.6736032465081163,0.32639675349188374,0.40565806276986605,0.2736853432376159,13818.553480442175,-23.34103199999663,40279.444637243796,-1.1872043579164973,0.9170496626857284,3
0x513b8629fe877bb581bf244e326a047b249c4ff1,12236,0.40119320039228507,53.56372157024845,186.9896350747164,840422.555216,420876556.36,0.2250735534488395,0.7749264465511605,6.245884512233573,0.2864528910858921,1996.8386038996623,-84803.251682,9.910263327725493,-0.7862690989146066,-1.3821554902117046,2
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,40172,0.4283580603405357,18.77554624712337,103.07826032876184,836080.553077,74107810.1,0.2513940057751668,0.7486059942248332,0.33239320195534205,0.1821484587267956,11281.949256749122,-98726.73913599993,8.4686333246079,-2.5501574877030833,0.6913230375594881,3
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,4355,0.486337543053961,79.63181629578875,213.62160414897266,677747.050643,39572949.21,0.44202066590126293,0.5579793340987371,1.842937403947187,0.37277042559916435,17126.52365246851,-7577.27,89.44475393420058,0.6510864319320331,0.27139924755526523,1
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,1590,0.34591194968553457,76.2009157989937,246.6832940203351,429355.565915,11474500.92,0.9226415094339623,0.07735849056603773,0.9757467083584905,0.30890180910553333,37418.23447559582,-58219.75226099999,7.374740517448319,1.515737321635911,-0.650045991408109,1
0x430f09841d65beb3f27765503d0f850b8bce7713,1223,0.4897792313982011,142.7539407721668,280.45225425843984,416541.872341,2966100.89,0.7808667211774325,0.21913327882256745,0.6107987988552739,0.5090133475647426,140434.15507049728,0.0,0.0,3.700203327891152,1.1933105491949039,1
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,1430,0.3062937062937063,98.8166586657902,277.9938475697238,403011.504159,3051144.33,0.9972027972027973,0.002797202797202797,0.20280492878321676,0.35546347348930424,132085.3622676709,-12239.23366899998,32.92783805409024,3.1328760829192634,0.3824681794697859,1
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,9893,0.8108763772364298,39.75036163297685,113.55434590995284,379095.406711,25729497.24,0.6825027797432528,0.3174972202567472,0.26233287594056404,0.3500558372684246,14733.88318375863,-22517.28358399996,16.83575220327077,-0.5156009088234711,1.764888832785603,3
