iter	Logloss
0	0.5688683
1	0.4611503782
2	0.3777728608
3	0.3136532656
4	0.2645685719
5	0.2211906865
6	0.1935880101
7	0.1717151234
8	0.1524727648
9	0.1407546325
10	0.1273777207
11	0.1195050369
12	0.1129840067
13	0.1069580698
14	0.1019196456
15	0.09578621754
16	0.0916917893
17	0.08815510716
18	0.08491412708
19	0.08251058422
20	0.07960332715
21	0.07766618891
22	0.07598002725
23	0.07459651664
24	0.07321693688
25	0.07217758605
26	0.07127751664
27	0.07037932618
28	0.06945413646
29	0.06867065479
30	0.06810368096
31	0.06746178916
32	0.06691897671
33	0.06636942116
34	0.06594328261
35	0.06547756106
36	0.06498337902
37	0.06459301298
38	0.06422382461
39	0.06389679728
40	0.06357112286
41	0.06327858471
42	0.06307451878
43	0.06274539461
44	0.06240020759
45	0.06211098958
46	0.06194600838
47	0.0616763016
48	0.06149038759
49	0.06111342441
50	0.06083704707
51	0.06059584304
52	0.06044049315
53	0.06035284846
54	0.06025377697
55	0.06010453666
56	0.06001081948
57	0.05987855768
58	0.05971153285
59	0.05954991706
60	0.05941246599
61	0.05930553372
62	0.05920707436
63	0.05902911903
64	0.05890711003
65	0.05882202294
66	0.05869088587
67	0.05860334092
68	0.05854858057
69	0.05848387506
70	0.05830096401
71	0.05818498745
72	0.05794413023
73	0.05789168979
74	0.05775319567
75	0.05764664328
76	0.05757690021
77	0.05746190993
78	0.05737902079
79	0.05732249365
80	0.05721210645
81	0.0570929791
82	0.05681515564
83	0.05674496561
84	0.05660338149
85	0.05647582276
86	0.05642020692
87	0.05631460244
88	0.05622935308
89	0.05616016685
90	0.05610376488
91	0.05601247551
92	0.05589903672
93	0.05582692263
94	0.05577275707
95	0.0556935099
96	0.05560662369
97	0.05556732875
98	0.0554875127
99	0.05544599072
100	0.0553701063
101	0.05528377196
102	0.05521285779
103	0.05516823167
104	0.0550789874
105	0.05500403701
106	0.05495915866
107	0.05480417058
108	0.05475831634
109	0.05466881968
110	0.05461204227
111	0.05458134158
112	0.05452190091
113	0.05438500277
114	0.05427287816
115	0.05423575338
116	0.05415121417
117	0.05407974133
118	0.05399666787
119	0.05391057597
120	0.05387616793
121	0.05383763755
122	0.05377569862
123	0.05371778798
124	0.05366158185
125	0.05343909306
126	0.053376809
127	0.05329805057
128	0.05319292796
129	0.05312571394
130	0.05303850197
131	0.05296471534
132	0.05293124596
133	0.05288422329
134	0.05284301218
135	0.052806635
136	0.05273980945
137	0.05268126965
138	0.05261422952
139	0.05256088428
140	0.05247742387
141	0.05243684998
142	0.05239411747
143	0.05229202533
144	0.05225631662
145	0.05217640983
146	0.05214844687
147	0.05210262168
148	0.05206588786
149	0.05202063313
150	0.0519829257
151	0.05192085083
152	0.05187127716
153	0.05181981549
154	0.0517713115
155	0.05170601167
156	0.05166625862
157	0.0515648548
158	0.05149938126
159	0.05144167505
160	0.05141301586
161	0.05136828614
162	0.05132766148
163	0.05125983812
164	0.05119527512
165	0.05114073836
166	0.05110162061
167	0.05104815062
168	0.05099890221
169	0.05096423547
170	0.05094069015
171	0.05089532957
172	0.05083130278
173	0.05076664872
174	0.05073021512
175	0.05069107752
176	0.05061318228
177	0.0505630847
178	0.05047382426
179	0.05042148604
180	0.05038832054
181	0.05034678261
182	0.05029985248
183	0.05023239891
184	0.05020253802
185	0.05013926446
186	0.05001285283
187	0.04998829702
188	0.04994816768
189	0.04992310365
190	0.04990178547
191	0.04987086853
192	0.04980290919
193	0.04977474277
194	0.04973993303
195	0.04969908073
196	0.04967247221
197	0.04964443636
198	0.04959647187
199	0.0495758206
200	0.04950736691
201	0.04944450054
202	0.04940120005
203	0.04927753197
204	0.04924920462
205	0.04921504842
206	0.0491446071
207	0.04908935856
208	0.04906291861
209	0.04901242026
210	0.04896548732
211	0.04893190535
212	0.04885735644
213	0.04883391049
214	0.04879783618
215	0.04868677479
216	0.04866555934
217	0.0486498715
218	0.04860923839
219	0.04856543527
220	0.04849761089
221	0.04846309913
222	0.04844507936
223	0.04840145227
224	0.0483616426
225	0.04833292991
226	0.04828827141
227	0.04821787518
228	0.04817692355
229	0.04811304704
230	0.04805039747
231	0.04802489433
232	0.04800188687
233	0.04794057636
234	0.04791644851
235	0.04787331615
236	0.04782820389
237	0.04780554867
238	0.04777005578
239	0.04771366631
240	0.04768347132
241	0.04766436992
242	0.04763179191
243	0.04759072265
244	0.04758328569
245	0.04753528306
246	0.04750246119
247	0.04746623309
248	0.04742541494
249	0.04735575409
250	0.0473173345
251	0.04724280073
252	0.0472100342
253	0.04718188333
254	0.04716035802
255	0.04713217215
256	0.04708448436
257	0.04705557871
258	0.04702447555
259	0.04701404724
260	0.04698318668
261	0.0469488563
262	0.04693151829
263	0.04687865679
264	0.04686324634
265	0.04684416286
266	0.04678389324
267	0.0467717496
268	0.04674461915
269	0.0466977229
270	0.04665668428
271	0.04662670114
272	0.04659785277
273	0.04656828495
274	0.04651858572
275	0.04648878421
276	0.04642433535
277	0.04638412165
278	0.04635332794
279	0.04633375691
280	0.04631075183
281	0.04628902789
282	0.04622082766
283	0.04619097204
284	0.04616581446
285	0.04615729764
286	0.04612132065
287	0.04608900568
288	0.0460128981
289	0.04596541119
290	0.04594815447
291	0.04592767551
292	0.04588897181
293	0.04583888796
294	0.04581079269
295	0.0457630592
296	0.04573733331
297	0.04570570584
298	0.04567254673
299	0.04564647944
