thr,alpha,gate,taken_trades,total_pnl,max_drawdown,hit_rate,profit_factor
0.4,0.75,0.0,236892,19962697.310835835,-201359.77194662765,0.8057384799824393,21.756043433184544
0.4,0.75,0.005,233295,19961709.665028222,-201359.77194662765,0.8123448852311451,21.764014827120278
0.4,0.75,0.01,229811,19958835.01537853,-201359.77194662765,0.8185117335549648,21.782550524044897
0.4,0.75,0.02,222673,19944727.799370028,-201247.33803132176,0.8302353675569109,21.830645578632346
0.4,0.75,0.03,215483,19922396.431240674,-201247.33803132176,0.8400616289916142,21.90669389698689
0.4,0.75,0.05,201295,19856915.94772434,-190969.71208344772,0.8583571375344643,22.35166174412459
0.4,1.0,0.0,236892,18817693.26537215,-174970.75186251104,0.8057384799824393,23.976220858011995
0.4,1.0,0.005,233295,18817437.927486144,-174970.75186251104,0.8123448852311451,23.979003763815356
0.4,1.0,0.01,229811,18816478.850848973,-174970.75186251104,0.8185117335549648,23.987283451197918
0.4,1.0,0.02,222673,18810845.254440606,-174925.65712326765,0.8302353675569109,24.013070741515556
0.4,1.0,0.03,215483,18800763.31365718,-174925.65712326765,0.8400616289916142,24.059861976543957
0.4,1.0,0.05,201295,18767373.339650095,-169828.08049347997,0.8583571375344643,24.350387266228076
0.4,1.25,0.0,236892,17897979.63025084,-155127.75335253403,0.8057384799824393,26.10605697528045
0.4,1.25,0.005,233295,17897911.98356197,-155127.75335253403,0.8123448852311451,26.10700113000635
0.4,1.25,0.01,229811,17897591.1145204,-155127.75335253403,0.8185117335549648,26.11056743353413
0.4,1.25,0.02,222673,17895336.333078507,-155109.66685699672,0.8302353675569109,26.123875846888605
0.4,1.25,0.03,215483,17890781.025073245,-155109.66685699672,0.8400616289916142,26.151581217374044
0.4,1.25,0.05,201295,17873728.157372303,-152581.3233597763,0.8583571375344643,26.335863278341968
0.4,1.5,0.0,236892,17134686.621302854,-139614.12309260294,0.8057384799824393,28.15154139557745
0.4,1.5,0.005,233295,17134668.377384633,-139614.12309260294,0.8123448852311451,28.151854894174797
0.4,1.5,0.01,229811,17134560.729620654,-139614.12309260294,0.8185117335549648,28.153348462223715
0.4,1.5,0.02,222673,17133656.306454815,-139606.86900207587,0.8302353675569109,28.160016774519843
0.4,1.5,0.03,215483,17131596.467249062,-139606.86900207587,0.8400616289916142,28.175932063005796
0.4,1.5,0.05,201295,17122873.962282635,-138352.83368442394,0.8583571375344643,28.290047120045916
0.4,2.0,0.0,236892,15918365.347692115,-116787.61008112878,0.8057384799824393,32.017015244003616
0.4,2.0,0.005,233295,15918363.97119394,-116787.61008112878,0.8123448852311451,32.01704828329271
0.4,2.0,0.01,229811,15918351.755191704,-116787.61008112878,0.8185117335549648,32.01729461078968
0.4,2.0,0.02,222673,15918205.321520248,-116786.44316387177,0.8302353675569109,32.018863960681
0.4,2.0,0.03,215483,15917783.16092256,-116786.44316387177,0.8400616289916142,32.02377210607505
0.4,2.0,0.05,201295,15915490.962592576,-116477.93875874393,0.8583571375344643,32.06512595267398
0.4,3.0,0.0,236892,14184022.855931895,-88695.15059816465,0.8057384799824393,39.012996050216735
0.4,3.0,0.005,233295,14184022.847400263,-88695.15059816465,0.8123448852311451,39.01299638162867
0.4,3.0,0.01,229811,14184022.685021596,-88695.15059816465,0.8185117335549648,39.0130021241144
0.4,3.0,0.02,222673,14184018.755963676,-88695.12040182948,0.8302353675569109,39.013076144479626
0.4,3.0,0.03,215483,14184000.861577857,-88695.12040182948,0.8400616289916142,39.01346860081088
0.4,3.0,0.05,201295,14183839.917570084,-88676.4487797264,0.8583571375344643,39.01813420874486
0.405,0.75,0.0,233295,19892237.88930868,-199334.34461773932,0.8123448852311451,21.93474205595226
0.405,0.75,0.005,229811,19891069.02403274,-199334.34461773932,0.8185117335549648,21.943421809995403
0.405,0.75,0.01,226329,19886652.22404494,-199334.34461773932,0.8244458288597573,21.954047856720038
0.405,0.75,0.02,218837,19871902.14200224,-199249.81128913537,0.8354345928704926,21.99022052835967
0.405,0.75,0.03,212296,19845984.952514853,-199249.81128913537,0.844518973508686,22.0549470639918
0.405,0.75,0.05,197817,19780194.328329384,-189995.1492006667,0.8647992841869,22.500926197561053
0.405,1.0,0.0,233295,18753997.045359157,-173266.79106020555,0.8123448852311451,24.163699764124747
0.405,1.0,0.005,229811,18753691.25684368,-173266.79106020555,0.8185117335549648,24.166776477192137
0.405,1.0,0.01,226329,18752201.27438522,-173266.79106020555,0.8244458288597573,24.171652542176236
0.405,1.0,0.02,218837,18746285.753745906,-173235.9615427181,0.8354345928704926,24.190688341861247
0.405,1.0,0.03,212296,18734530.206660043,-173235.9615427181,0.844518973508686,24.229660297055666
0.405,1.0,0.05,197817,18700690.008672334,-168803.39762421325,0.8647992841869,24.514479682676672
0.405,1.25,0.0,233295,17839764.627008475,-153693.41985453293,0.8123448852311451,26.30089152294896
0.405,1.25,0.005,229811,17839682.84018538,-153693.41985453293,0.8185117335549648,26.30195005457793
0.405,1.25,0.01,226329,17839179.087799117,-153693.41985453293,0.8244458288597573,26.304095239175986
0.405,1.25,0.02,218837,17836802.025418997,-153682.17625198886,0.8354345928704926,26.313740586501922
0.405,1.25,0.03,212296,17831465.916229017,-153682.17625198886,0.844518973508686,26.336293872446713
0.405,1.25,0.05,197817,17814043.42316995,-151559.16999817453,0.8647992841869,26.513219915585154
0.405,1.5,0.0,233295,17080696.720216755,-138383.27044389024,0.8123448852311451,28.353147478682505
0.405,1.5,0.005,229811,17080674.4404814,-138383.27044389024,0.8185117335549648,28.353503357655974
0.405,1.5,0.01,226329,17080503.760642387,-138383.27044389024,0.8244458288597573,28.35441767770362
0.405,1.5,0.02,218837,17079546.7394259,-138379.1698737722,0.8354345928704926,28.35916688522943
0.405,1.5,0.03,212296,17077122.758037474,-138379.1698737722,0.844518973508686,28.37182133697793
0.405,1.5,0.05,197817,17068144.578556783,-137362.33742243797,0.8647992841869,28.47924828152291
0.405,2.0,0.0,233295,15869968.433408419,-115819.95246159099,0.8123448852311451,32.23197188841209
0.405,2.0,0.005,229811,15869966.70807812,-115819.95246159099,0.8185117335549648,32.2320101378116
0.405,2.0,0.01,226329,15869946.994651789,-115819.95246159099,0.8244458288597573,32.2321653596909
0.405,2.0,0.02,218837,15869790.99837052,-115819.40705327317,0.8354345928704926,32.23324872804582
0.405,2.0,0.03,212296,15869289.708890682,-115819.40705327317,0.844518973508686,32.23696898652803
0.405,2.0,0.05,197817,15866899.07169463,-115586.14110228606,0.8647992841869,32.274536051118886
0.405,3.0,0.0,233295,14140544.64148669,-87993.24408363178,0.8123448852311451,39.254961694452604
0.405,3.0,0.005,229811,14140544.629958838,-87993.24408363178,0.8185117335549648,39.254962085072705
0.405,3.0,0.01,226329,14140544.361088168,-87993.24408363178,0.8244458288597573,39.254965879178904
0.405,3.0,0.02,218837,14140540.127805393,-87993.23443475366,0.8354345928704926,39.25501473179628
0.405,3.0,0.03,212296,14140518.507020783,-87993.23443475366,0.844518973508686,39.25528498936336
0.405,3.0,0.05,197817,14140347.26419552,-87980.9578091111,0.8647992841869,39.25928820216418
0.41000000000000003,0.75,0.0,229811,19820685.90881975,-197226.49652272463,0.8185117335549648,22.115635337289813
0.41000000000000003,0.75,0.005,226329,19818766.856510364,-197226.49652272463,0.8244458288597573,22.120600367055662
