Coin,trades,volume,avg_pnl,win_rate,maker_rate
PNUT,586,961622.8200000001,14.380551055358339,78.32764505119454,68.60068259385666
AAVE,585,1100411.81,16.742137279247828,32.30769230769231,14.871794871794872
ADA,581,1094836.4,-9.040630372736661,26.850258175559382,44.061962134251296
VIRTUAL,570,1361590.25,35.377453607508734,54.91228070175439,26.842105263157894
GRIFFAIN,562,583690.79,13.046773076654803,71.35231316725978,51.245551601423486
AI16Z,540,631600.28,15.563592245999986,54.074074074074076,37.22222222222222
ME,488,316205.37,32.10734222754093,35.040983606557376,81.14754098360656
LAYER,478,1060068.85,42.11389220644336,13.389121338912133,69.24686192468619
IP,469,477338.87,6.5727453038805965,54.37100213219617,86.35394456289978
KAITO,435,897912.98,20.07167751549425,23.908045977011493,52.643678160919535
LINK,355,443972.69,12.960840546478872,42.53521126760563,11.549295774647888
IO,352,252981.67,-18.62345044931818,16.477272727272727,22.15909090909091
EIGEN,330,417781.52999999997,61.032229682787765,27.878787878787882,70.9090909090909
RUNE,322,672350.38,22.408481897763973,57.14285714285714,44.409937888198755
TIA,322,764851.23,38.54587952037263,40.683229813664596,21.73913043478261
@151,320,574270.85,36.199508653125,92.8125,87.1875
ETHFI,311,769716.13,122.15701370932466,39.87138263665595,5.466237942122187
MAVIA,298,345694.75,27.709060553691273,78.85906040268456,65.43624161073825
WIF,289,588175.4,39.592728674048374,60.89965397923876,48.78892733564014
@8,274,44809.25,0.5938705437956204,3.64963503649635,8.02919708029197
OGN,258,58247.64,6.793288457364341,99.6124031007752,3.488372093023256
ALT,249,452509.6,24.38021117686747,65.06024096385542,63.85542168674698
ZETA,245,313968.58,18.86776122857143,92.65306122448979,85.3061224489796
HBAR,238,75989.03,8.023143126050421,44.537815126050425,7.563025210084033
SEI,235,1266275.0,21.852236044936117,62.5531914893617,40.0
RENDER,234,231090.13,26.069479726495725,52.56410256410257,24.358974358974358
NIL,226,481868.22,-11.876767087964602,7.52212389380531,2.6548672566371683
NEAR,223,813006.76,62.589847439461884,90.13452914798206,82.0627802690583
@51,217,18319.82,-0.8449785874654379,0.0,1.3824884792626728
CHILLGUY,215,266880.32,21.989742260465118,55.81395348837209,46.04651162790698
SAND,205,95828.66,10.797258180487805,30.24390243902439,2.4390243902439024
AVAX,202,400115.48,68.46108078534614,50.0,21.782178217821784
GRASS,201,156915.52,6.508694539900497,54.22885572139303,21.393034825870647
LTC,191,343217.55,27.464858836230334,58.63874345549738,15.706806282722512
BADGER,190,153716.13999999998,7.577543331578947,32.631578947368425,43.684210526315795
RNDR,176,619792.36,73.93213415749996,82.95454545454545,76.13636363636364
OP,173,340426.57,40.82904000416181,54.33526011560693,69.94219653179191
BIO,170,150146.37,7.638307376470588,77.05882352941177,49.411764705882355
TST,165,490758.53,31.967136354666664,55.757575757575765,85.45454545454545
@123,163,400024.33,0.0,0.0,0.0
ILV,159,319713.52,32.53704546364776,40.25157232704403,41.509433962264154
INJ,158,347802.64,37.506887515949366,63.92405063291139,39.24050632911392
