fold,roc_auc,pr_auc,f1@0.5,brier
1,0.9775057821152102,0.9656327242452658,0.9324229155822285,0.04885043386210291
2,0.9846136608945464,0.9719190339984931,0.87483658910096,0.05519313339782243
3,0.9962819976704775,0.9947335338222876,0.9739840486137485,0.01883462235195321
4,0.9916120652490099,0.9852390653405407,0.9527323355377654,0.02956472491644604
5,0.9932285554214056,0.9877983081900572,0.9416033818413079,0.03346334016834244
