regime,trades,total_pnl,mean_pnl,hit_rate
Extreme Fear,9621,1366191.5439756021,142.00099199413805,91.35225028583307
Extreme Greed,9515,864508.2954673556,90.85741413214457,93.49448239621651
Fear,26832,3104653.9715276556,115.70713966635569,93.96243291592128
Greed,16439,1880051.8846682024,114.36534367468839,89.0625950483606
Neutral,13689,931439.4815253608,68.04291632152537,89.26145079991234
