thr,alpha,gate,n,total_pnl,hit_rate,pf,max_dd,score
0.41000000000000003,1.0,0.08,74318,8105645.927180116,0.9241637288409268,15.067052921985669,-121315.19471771736,7997891.080092186
0.41000000000000003,1.0,0.05,74886,8105457.533939876,0.9221616857623588,14.956322842745168,-121584.01510109287,7997334.209397254
0.42,1.0,0.02,75215,8098283.961433896,0.9210795718939041,15.105748161813834,-120101.86265814118,7991777.2721213875
0.42,1.0,0.03,75035,8098216.587206047,0.9217565136269741,15.120822335302938,-120101.86265814118,7991723.464649678
0.42,1.0,0.0,75552,8098009.724312691,0.9193138500635324,15.086515381839941,-120101.86265814118,7991485.725498206
0.42,1.0,0.01,75397,8097969.079307653,0.9201294481212781,15.088805498720507,-120101.86265814118,7991447.141598361
0.42,1.0,0.05,74719,8095516.372362581,0.922763955620391,15.179232228690081,-119875.35720863845,7989302.324159764
0.42,1.0,0.08,74189,8090790.781335494,0.9245979862243728,15.226787090400643,-119875.35720863845,7984619.532508216
0.43,1.0,0.01,75215,8085197.294917578,0.9210795718939041,15.292756855562299,-118567.7048663199,7980393.071221264
0.43,1.0,0.02,75035,8085144.108348223,0.9217565136269741,15.301896003873033,-118567.7048663199,7980348.109885389
0.43,1.0,0.0,75397,8085040.556248928,0.9201294481212781,15.286020440055049,-118567.7048663199,7980230.269778658
0.43,1.0,0.05,74537,8083082.160595432,0.9235413284677408,15.377520369997109,-118384.99908521213,7978536.929843217
0.43,1.0,0.03,74886,8082272.817516327,0.9221616857623588,15.306021079472686,-118567.7048663199,7977480.5316215325
0.43,1.0,0.08,73994,8077730.036860695,0.9253047544395492,15.412349177679298,-118383.97472972516,7973217.176390882
0.44,1.0,0.0,75215,8071643.247454248,0.9210795718939041,15.492410530130611,-116978.7557247905,7968607.661206575
0.44,1.0,0.01,75035,8071604.755245477,0.9217565136269741,15.495041345002125,-116978.7557247905,7968571.536731188
0.44,1.0,0.03,74719,8070880.75792828,0.922763955620391,15.530136229532323,-116841.41388594825,7968016.466648911
0.44,1.0,0.05,74318,8069907.240285995,0.9241637288409268,15.559594642166653,-116841.41388594825,7967069.461577998
0.44,1.0,0.02,74886,8070059.440114635,0.9221616857623588,15.49822940391692,-116978.7557247905,7967029.09085337
0.44,1.0,0.08,73805,8069461.138881668,0.9260890183591898,15.72383167505625,-116840.51234607771,7966772.075043141
0.45,1.0,0.02,74719,8057891.070317467,0.922763955620391,15.723152935384217,-115241.6983158039,7956800.209643508
0.45,1.0,0.03,74537,8057694.156661993,0.9235413284677408,15.739944106536246,-115241.6983158039,7956618.408042071
0.45,1.0,0.0,75035,8057573.062029904,0.9217565136269741,15.70150716253277,-115332.02661447972,7956372.391861703
0.45,1.0,0.01,74886,8057401.939898337,0.9221616857623588,15.703594912419655,-115332.02661447972,7956203.148705035
0.45,1.0,0.08,73607,8055285.817369273,0.9271808387789204,15.925489648626934,-115240.92405757215,7954377.833995465
