regime,trades,accounts,volume_usd,avg_pnl_w,avg_pnl_ci_lo,avg_pnl_ci_hi,median_pnl,win_rate,maker_rate,taker_rate,avg_fee
Extreme Fear,21300,32,116426381.89000002,37.709026473596246,35.508041703767695,39.6882586108577,0.0,0.4179342723004695,0.40535211267605636,0.5946478873239437,1.2088356500470376
Fear,61468,32,486348544.92999995,28.554146283905123,27.56122054291713,29.556314546591363,0.0,0.42095073859569204,0.401932712956335,0.598067287043665,1.4821902277873171
Neutral,39553,31,191741716.26,23.595841640666446,22.431623129606706,24.743625837599144,0.0,0.3626020782241549,0.4051272975501226,0.5948727024498773,1.0632903686440218
Greed,48613,31,269505931.78999996,32.49297946841215,31.21921480340049,33.724377314176245,0.0,0.39363956143418427,0.37827330138028925,0.6217266986197107,1.2199759882982144
Extreme Greed,40148,30,127164842.06,38.41135350566504,37.11460423180276,39.88211486564178,0.0,0.46363455215701904,0.3753113480123543,0.6246886519876457,0.688433686061074
