metric,group,point,ci_low_95,ci_high_95,n
winsorized_mean_closed_pnl,Extreme Fear,37.709026473596246,35.66613959113595,39.72745100469845,21300
winsorized_mean_closed_pnl,Extreme Greed,38.41135350566504,37.068225302865,39.80147319419062,40148
winsorized_mean_closed_pnl,Fear,28.554146283905123,27.66422979865647,29.565374659130033,61468
winsorized_mean_closed_pnl,Greed,32.49297946841215,31.234826672612922,33.71448039448823,48613
winsorized_mean_closed_pnl,Neutral,23.595841640666446,22.446062640503147,24.848357083231868,39553
total_pnl,untouched_holdout,883481.8892694926,719435.932821636,1015891.8576856474,31663
hit_rate,untouched_holdout,0.9313308373042887,0.9271114596743976,0.9359946039118194,31663
profit_factor,untouched_holdout,11.279503215063588,4.275839222845009,46.003336709934025,31663
