Account,trades,win_rate,avg_pnl,pnl_std,total_pnl,volume,maker_rate,taker_rate,avg_fee,pnl_sharpe_proxy,profit_per_musd,max_drawdown,calmar_proxy,pc1,pc2,cluster,human_probability,wash_suspicion_score,trade_count_score,win_rate_score,profit_factor_score,consistency_score,recency_score,copy_score,copy_tier
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,9893,0.8108763772364298,39.75036163297685,113.55434590995284,379095.406711,25729497.24,0.6825027797432528,0.3174972202567472,0.262332875940564,0.3500558372684246,14733.88318375863,-22517.28358399996,16.83575220327077,-0.5156009088234711,1.764888832785603,3,0.75,0.25,78.125,0.8108763772364297,71.875,68.75,100.0,57.85896909430911,Watchlist
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,15604,0.3458087669828249,7.193167541753397,33.94263479967004,106302.875256,19868207.89,0.8953473468341451,0.1046526531658549,0.1466262133494104,0.2119213073530556,5350.400793294699,-8766.773926000002,12.125654904905549,-1.7629953771756046,0.3807736610571824,3,0.75,0.25,93.75,0.3458087669828249,40.625,96.875,100.0,57.27395219174571,Watchlist
0xbaaaf6571ab7d571043ff1e313a9609a10637864,21192,0.4675821064552661,31.23474652851076,114.1264861282414,940163.80622,68036340.24,0.6736032465081163,0.3263967534918837,0.405658062769866,0.2736853432376159,13818.553480442177,-23.34103199999663,40279.4446372438,-1.1872043579164973,0.9170496626857284,3,0.5,0.5,96.875,0.4675821064552661,46.875,62.5,100.0,53.08564552661382,Watchlist
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,13301,0.4389143673408014,11.11652081772799,57.784087402594615,132464.814554,6757020.36,0.0545823622284038,0.9454176377715962,0.1667819988309826,0.1923803129445778,19604.027736568787,-20849.88678999999,6.353263012321617,-1.8600756225625148,1.2132611134536653,3,0.75,0.25,84.375,0.4389143673408014,31.25,87.5,100.0,51.6722285918352,Watchlist
0x4f93fead39b70a1824f981a54d4e55b278e9f760,7562,0.3614123247818037,56.91872172007934,170.37773949533155,308975.869716,129672528.36,0.0,1.0,5.385409601031474,0.3340736993499021,2382.739610491852,-113383.71529,2.725046263704947,-0.7635596945918378,-1.3991637639362526,2,0.75,0.25,71.875,0.3614123247818037,68.75,37.5,100.0,51.02785308119545,Watchlist
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,8513,0.3536943498179255,14.236428250097498,69.96413980737118,103343.716161,4408827.68,0.2944907788088805,0.7055092211911195,0.1445843440833901,0.2034817878029224,23440.180397569995,-19322.088606000005,5.348475429768453,-1.341343577421784,0.7027109575177425,3,0.75,0.25,75.0,0.3536943498179255,37.5,81.25,100.0,50.400923587454486,Watchlist
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,40172,0.4283580603405357,18.77554624712337,103.07826032876184,836080.553077,74107810.1,0.2513940057751668,0.7486059942248332,0.332393201955342,0.1821484587267956,11281.949256749122,-98726.73913599992,8.4686333246079,-2.5501574877030837,0.6913230375594881,3,0.75,0.25,100.0,0.42835806034053575,21.875,71.875,100.0,50.107089515085136,Watchlist
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,14719,0.3374549901487872,48.33005778449351,169.34542479990148,2143382.597689,56531277.0,0.1582987974726543,0.8417012025273456,1.0865036281554452,0.2853933481911324,37914.98638336084,-10680.586532,200.68023336239375,-0.465700042600658,0.5678788560536259,3,0.75,0.25,87.5,0.3374549901487872,50.0,40.625,100.0,49.928113747537196,Watchlist
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,4355,0.486337543053961,79.63181629578875,213.62160414897264,677747.050643,39572949.21,0.4420206659012629,0.5579793340987371,1.842937403947187,0.3727704255991643,17126.52365246851,-7577.27,89.44475393420058,0.6510864319320331,0.2713992475552652,1,0.75,0.25,59.375,0.486337543053961,81.25,21.875,100.0,49.34033438576349,Watchlist
0x083384f897ee0f19899168e3b1bec365f52a9012,3818,0.3596123624934521,122.35630222894709,301.26397898215606,1600229.819979,61697263.97,0.8878994237820849,0.1121005762179151,1.9395789167103197,0.4061431527338164,25936.803628068563,-327934.104256,4.879729796964908,2.219693240159611,-2.950378741128803,0,1.0,0.0,56.25,0.3596123624934521,87.5,3.125,100.0,48.683653090623366,Watchlist
0x2c229d22b100a7beb69122eed721cee9b24011dd,3239,0.5199135535659154,43.27937936922507,138.89717030201442,168658.004994,10166880.2,0.2426674899660389,0.7573325100339611,0.9596161537511578,0.3115929523626687,16588.96354399848,-3323.090682000009,50.75335617759694,-0.3852987150746943,0.9181159818242464,3,1.0,0.0,46.875,0.5199135535659154,62.5,56.25,100.0,48.56747838839148,Watchlist
0x513b8629fe877bb581bf244e326a047b249c4ff1,12236,0.401193200392285,53.56372157024845,186.9896350747164,840422.555216,420876556.36,0.2250735534488395,0.7749264465511605,6.245884512233573,0.2864528910858921,1996.8386038996623,-84803.251682,9.910263327725492,-0.7862690989146066,-1.3821554902117046,2,0.75,0.25,81.25,0.401193200392285,53.125,31.25,100.0,48.069048300098075,Watchlist
0x6d6a4b953f202f8df5bed40692e7fd865318264a,972,0.4331275720164609,89.5506062663786,195.07762405009817,108731.216772,728055.67,0.0390946502057613,0.9609053497942388,0.1922181861444444,0.4590511428588087,149344.64664219975,-89.17810000000463,1219.2591765466448,2.015206251349648,1.894609372148477,1,1.0,0.0,21.875,0.4331275720164609,93.75,28.125,100.0,47.13953189300412,Watchlist
0x8477e447846c758f5a675856001ea72298fd9cb5,14994,0.2620381485927704,3.719705366658664,44.517307557995416,43917.008976,12304786.57,0.2190209417100173,0.7809790582899827,0.2529373813171935,0.0835563867336939,3569.099612265765,-34260.134815,1.2818691231994792,-2.214087531373793,0.3124514071819382,3,0.75,0.25,90.625,0.2620381485927704,3.125,93.75,100.0,46.78425953714819,Watchlist
0x430f09841d65beb3f27765503d0f850b8bce7713,1223,0.4897792313982011,142.7539407721668,280.45225425843984,416541.872341,2966100.89,0.7808667211774325,0.2191332788225674,0.6107987988552739,0.5090133475647426,140434.15507049728,0.0,0.0,3.700203327891152,1.193310549194904,1,1.0,0.0,25.0,0.4897792313982011,100.0,9.375,100.0,46.52869480784955,Watchlist
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,3051,0.2854801704359226,33.73102699179285,113.91923135104597,126578.942134,10992355.74,0.071779744346116,0.928220255653884,0.9249291377450016,0.2960959847758238,11515.178832267304,-621.545060000004,203.65207654292865,-0.8843278505229989,0.2898746682256422,3,0.75,0.25,43.75,0.2854801704359226,56.25,65.625,100.0,46.47762004260898,Watchlist
