thr,alpha,n,total_pnl,mean_pnl,hit_rate,pf,max_dd,score
0.38,1.0,76243,8146843.952624101,106.85366463313485,0.9160447516493317,14.365066085191058,-125832.8642567182,8038249.167669612
0.39,1.0,76096,8135164.903089999,106.90660354144764,0.9166973296888141,14.533080068486358,-124465.520153814,8028139.079018369
0.4,1.0,75938,8123074.559992129,106.96982485701665,0.9176433406199794,14.709719020914582,-123052.59791414253,8017673.624903084
0.41000000000000003,1.0,75751,8110633.426752144,107.06965487917181,0.9182849071299389,14.894819503274904,-121591.78000533581,8006915.430150738
0.42,1.0,75552,8098009.724312691,107.18458444928912,0.9193138500635324,15.086515381839941,-120101.86265814211,7996011.680112757
0.43,1.0,75397,8085040.556248928,107.23292115401048,0.9201294481212781,15.286020440055053,-118567.7048663199,7984816.075910674
0.44,1.0,75215,8071643.24745425,107.31427570902413,0.9210795718939041,15.492410530130611,-116978.7557247905,7973255.384365616
0.45,1.0,75035,8057573.062029904,107.38419486945965,0.9217565136269741,15.70150716253277,-115332.02661447972,7961082.844010463
0.46,1.0,74886,8044275.643377734,107.42028741524096,0.9221616857623588,15.923516450064287,-113624.30753711611,7949759.555580695
0.47,1.0,74719,8030441.16442292,107.47522269332994,0.922763955620391,16.15059633971972,-111861.16729964595,7937960.712730938
0.48,1.0,74537,8015950.419425282,107.54323918893009,0.9235413284677408,16.38286047810574,-110073.38647379074,7925536.465525218
0.49,1.0,74318,8000999.314575114,107.6589697593465,0.9241637288409268,16.628478667684305,-108215.49659594242,7912737.992380393
0.5,1.0,74189,7985772.866661493,107.64092879889866,0.9245979862243728,16.892049698789645,-106283.29112298321,7899760.035177057
0.51,1.0,73994,7970382.622434851,107.71660705509701,0.9253047544395492,17.17425791279241,-104272.31865065917,7886719.413279543
0.52,1.0,73805,7954176.01501528,107.77286112072731,0.9260890183591898,17.465203312847375,-102177.61970142461,7872956.639289272
0.53,1.0,73607,7937082.979410683,107.83054572813295,0.9271808387789204,17.761785900785608,-99993.78462668974,7858403.337864935
0.54,1.0,73462,7919571.9790039295,107.80501455179454,0.9278538564155618,18.08010354021209,-97715.76022618636,7843552.343025997
0.55,1.0,73280,7901099.147256027,107.82067613613575,0.9285480349344978,18.415359257206806,-95340.44199552666,7827857.136369148
